date,type,source,count,uniques
"2026-08-17","referrer","github.com","105","17"
"2026-08-17","referrer","patternfly.org","33","3"
"2026-08-17","referrer","Google","28","14"
"2026-08-17","referrer","claude.ai","1","1"
"2026-08-17","referrer","redhat.atlassian.net","1","1"
"2026-08-17","path","/rh-uxd/ai-helpers","142","44"
"2026-08-17","path","/rh-uxd/ai-helpers/pulls","70","10"
"2026-08-17","path","/rh-uxd/ai-helpers/pull/20","32","3"
"2026-08-17","path","/rh-uxd/ai-helpers/pull/8","30","12"
"2026-08-17","path","/rh-uxd/ai-helpers/pull/22","24","2"
"2026-08-17","path","/rh-uxd/ai-helpers/tree/main/plugins","21","10"
"2026-08-17","path","/rh-uxd/ai-helpers/pull/23","14","2"
"2026-08-17","path","/rh-uxd/ai-helpers/blob/main/PLUGINS.md","13","6"
"2026-08-17","path","/rh-uxd/ai-helpers/pull/24","11","3"
"2026-08-17","path","/rh-uxd/ai-helpers/blob/main/CONTRIBUTING.md","9","4"
